exercise_name,filepath,exercise_type,body_part,equipment,instructions
Barbell Shrug,female/Barbell-Shrug-(female)_Back.mp4,Strength,Shoulders,Barbell,"Stand upright holding a barbell in front of thighs | Keep arms straight and feet shoulder-width apart | Shrug shoulders upward as high as possible | Pause, then lower shoulders back down"
Lever Seated Hip Adduction,female/Lever-Seated-Hip-Adduction-(VERSION-2)-(female)_Hips_.mp4,Strength,Hips,Leverage machine,Sit on the machine with your back against the pad | Place your legs against the pads | Bring your legs together by squeezing your thighs | Slowly return to the starting position | Repeat
Sled Full Hack Squat,female/Sled-Full-Hack-Squat-(female)_Thighs_.mp4,Strength,Thighs,Sled machine,Position yourself under the sled machine with shoulders against pads | Place feet shoulder-width apart on the platform | Release safety handles and lower the sled by bending knees | Descend until thighs are parallel to the platform | Press through heels to return to starting position
Cable Incline Pushdown,male/Cable-Incline-Pushdown_Back_.mp4,Strength,Upper Arms,Cable,"Set incline bench facing cable machine | Lie back and grasp cable bar with overhand grip | Extend arms downward, pushing bar toward thighs | Squeeze triceps at bottom | Slowly return to starting position"
Inverted Row Bent Knees,female/Inverted-Row-Bent-Knees-(female)_Back_.mp4,Strength,Back,Body weight,Lie under a bar with knees bent and feet flat | Grip the bar with hands shoulder-width apart | Pull your chest up to the bar | Lower yourself back down with control
Lever Biceps Curl,female/Lever-Biceps-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Leverage machine,Sit at the lever biceps curl machine | Grasp the handles with an underhand grip | Curl the handles toward your shoulders | Squeeze your biceps at the top | Slowly lower back to starting position
Dumbbell Concentration Curl,male/Dumbbell-Concentration-Curl_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Dumbbell,Sit on a bench and hold a dumbbell in one hand | Rest your elbow on your inner thigh | Curl the dumbbell up towards your shoulder | Lower it back down slowly | Repeat for reps
Weighted Decline Crunch,female/Weighted-Decline-Crunch-(female)_Waist_.mp4,Strength,Waist,Dumbbell,Lie on a decline bench holding a weight to your chest | Hook your feet under the pads | Crunch your torso upward toward your knees | Lower back down with control | Repeat
Decline Push Up,female/Decline-Push-Up-(Kneeling)-(female)_Chest-FIX_.mp4,Strength,Chest,Body weight,Place feet on elevated surface and hands on floor | Keep body straight and core tight | Lower chest toward the floor | Push back up to starting position
Lever Standing Hip Extension,female/Lever-Standing-Hip-Extension-(female)_Hips.mp4,Strength,Hips,Leverage machine,Stand facing the lever machine | Place one foot on the footpad behind you | Hold handles for support | Push the footpad back by extending your hip | Return slowly to starting position
Push Up Row,female/Push-up-Row-(female)_Back_.mp4,Strength,Full body,Dumbbell,"Get into a push-up position holding dumbbells | Perform a push-up | At the top, row one dumbbell to your side | Lower the dumbbell and repeat on the other side | Continue alternating rows after each push-up"
Band Assisted Pull Up,female/Band-Assisted-Pull-Up-(VERSION-3)-(female)_Back.mp4,Strength,Back,Resistance Band,Loop band over pull-up bar and place foot or knee in band | Grip the bar with hands shoulder-width apart | Hang with arms fully extended | Pull your chin above the bar | Lower yourself back down with control
Dumbbell Decline Twist Fly,male/Dumbbell-Decline-Twist-Fly_Chest_.mp4,Strength,Chest,Dumbbell,"Lie on a decline bench holding dumbbells above chest | Lower arms out to sides with a slight bend in elbows | As you lower, twist wrists so palms face in | Bring dumbbells back up, twisting wrists to starting position | Repeat"
Band Standing Chest Press,female/Band-Standing-Chest-Press-(female)_Chest_.mp4,Strength,Chest,Band,"Anchor band behind you at chest height | Hold handles and step forward, feet shoulder-width apart | Press handles forward until arms are extended | Slowly return to starting position"
Single Leg Squat With Support,female/Single-Leg-Squat-with-Support-(female)_Thighs_.mp4,Strength,Thighs,Body weight,Stand on one leg and hold onto a support | Lower your body by bending the knee and hip | Keep your back straight and core engaged | Push through your heel to return to standing
Cable Straight Back Seated Row,male/Cable-Straight-Back-Seated-Row_Back.mp4,Strength,Back,Cable,Sit at the cable row machine with feet on the platform | Grasp the handle with both hands | Keep your back straight and pull the handle towards your torso | Squeeze your shoulder blades together | Slowly return to starting position
Barbell Standing Calf Raise,female/Barbell-Standing-Calf-Raise-(female)_Calves_.mp4,Strength,Calves,Barbell,Stand upright with barbell on your upper back | Position feet shoulder-width apart | Raise your heels to stand on your toes | Pause at the top | Lower heels back down to starting position
Dumbbell Incline Two Arm Extension,female/Dumbbell-Incline-Two-Arm-Extension-(female)_Upper-.mp4,Strength,Upper Arms,Dumbbell,Lie on an incline bench holding dumbbells above your chest | Keep arms extended and elbows close | Lower the dumbbells behind your head by bending elbows | Extend arms back to starting position
Smith Single Leg Split Squat,female/Smith-Single-Leg-Split-Squat-(female)_Thighs-FIX_.mp4,Strength,Thighs,Smith machine,"Set bar on Smith machine at shoulder height | Stand with one foot forward and other foot back on bench | Lower back knee toward floor, keeping front knee over ankle | Push through front heel to return to start | Repeat for reps, then switch legs"
Commando Pull Up,female/Commando-Pull-up-(female)_Back_.mp4,Strength,Back,Body weight,"Grip pull-up bar with one hand in front of the other | Hang with arms fully extended | Pull your chest up to the bar, leading with one side | Lower yourself back down | Alternate leading hand each rep"
Lever Lateral Raise,female/Lever-Lateral-Raise-(female)_Shoulder.mp4,Strength,Shoulders,Leverage machine,Sit on the machine and grip the handles | Keep your back straight and arms slightly bent | Lift the handles outward to shoulder height | Lower the handles back down slowly
Band Decline Sit Up,female/Band-Decline-Sit-up-(female)_Hips.mp4,Strength,Waist,Band,Secure band behind you and lie on decline bench | Hold band handles at chest | Engage core and sit up towards knees | Lower back down with control | Repeat
Barbell Narrow Stance Squat,male/Barbell-Narrow-Stance-Squat-(male)_Thighs_.mp4,Strength,Thighs,Barbell,"Stand with feet close together and barbell on upper back | Keep chest up and core tight | Lower hips by bending knees, keeping back straight | Descend until thighs are parallel to floor | Push through heels to return to standing"
Ez Barbell Reverse Grip Curl,female/EZ-Barbell-Reverse-Grip-Curl-(female)_Forearms.mp4,Strength,Forearms,EZ Barbell,Stand holding EZ barbell with palms facing down | Keep elbows close to your sides | Curl the bar up towards your shoulders | Lower the bar back down slowly | Repeat
45 Degree Side Bend,male/45-degree-Side-Bend_Waist-FIX_.mp4,Strength,Waist,Dumbbell,Stand upright holding a dumbbell in one hand | Keep feet shoulder-width apart | Bend your torso to the side at a 45-degree angle | Return to the starting position | Repeat on the other side
Walk Elliptical Cross Trainer,female/Walk-Elliptical-Cross-Trainer-(female)_Cardio.mp4,Aerobic,Cardio,Leverage machine,"Step onto the elliptical pedals | Grip the handles firmly | Start pedaling in a smooth, gliding motion | Maintain a steady pace and posture | Cool down before stopping"
Dumbbell Lying Supine Curl,female/Dumbbell-Lying-Supine-Curl-(female)_Forearms.mp4,Strength,Upper Arms,Dumbbell,Lie on your back on a bench holding dumbbells at your sides | Keep elbows close to your body | Curl the dumbbells up toward your shoulders | Lower the weights back down slowly | Repeat for desired reps
Barbell Bench Squat,male/Barbell-Bench-Squat_Hips_.mp4,Strength,Thighs,Barbell,Set barbell on upper back and stand with feet shoulder-width apart | Lower your body by bending knees and hips | Keep chest up and back straight | Squat down until thighs are parallel to the floor | Push through heels to return to starting position
Elliptical Machine Walk,female/Elliptical-Machine-Walk-(female)_Cardio.mp4,Aerobic,Cardio,Leverage machine,"Step onto the elliptical machine and grip the handles | Select your desired resistance and program | Begin pedaling with a smooth, gliding motion | Maintain an upright posture and steady pace | Cool down before stopping"
Dumbbell One Arm Triceps Extension,female/Dumbbell-One-Arm-Triceps-Extension-(female)_Upper-.mp4,Strength,Upper Arms,Dumbbell,"Stand or sit holding a dumbbell overhead with one hand | Keep your upper arm still and lower the dumbbell behind your head | Extend your arm to raise the dumbbell back up | Repeat for reps, then switch arms"
Cable Romanian Deadlift,male/Cable-Romanian-Deadlift-(male)_Hips_.mp4,Strength,Hips,Cable,"Stand facing cable machine holding handle | Step back and keep feet hip-width apart | Hinge at hips, lowering handle down thighs | Keep back straight and knees slightly bent | Return to standing position"
Dumbbell Bench Squat,female/Dumbbell-Bench-Squat-(female)_Thighs_.mp4,Strength,Thighs,Dumbbell,"Stand in front of a bench holding dumbbells at your sides | Lower your body by bending your knees and hips to sit back onto the bench | Pause briefly, then stand back up to starting position | Repeat"
Band Concentration Curl,female/Band-Concentration-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Band,"Sit on a bench and place one end of the band under your foot | Hold the other end with your hand, elbow resting on your thigh | Curl the band upward, squeezing your bicep | Lower slowly to starting position | Repeat for reps"
Band Bicycle Crunch,female/Band-Bicycle-Crunch-(female)_Waist_.mp4,Strength,Waist,Band,"Lie on your back with a resistance band looped around your feet | Place hands behind your head and lift shoulders off the ground | Bring one knee toward your chest while twisting your torso to touch the opposite elbow to the knee | Extend the other leg out straight, keeping tension on the band | Alternate sides in a pedaling motion"
Lever Seated One Leg Curl,female/Lever-Seated-One-Leg-Curl-(female)_Thighs_.mp4,Strength,Thighs,Leverage machine,Sit on the machine and adjust the pad to your ankle | Select desired weight | Place one leg under the pad | Curl your leg down by bending your knee | Slowly return to starting position
Cable Reverse Grip Pulldown,male/Cable-Reverse-Grip-Pulldown_Back_.mp4,Strength,Back,Cable,"Sit at the cable pulldown machine | Grasp the bar with an underhand (reverse) grip, hands shoulder-width apart | Pull the bar down to your upper chest, squeezing your back | Slowly return the bar to the starting position"
Lever Angled Leg Press,female/Lever-Angled-Leg-Press-(female)_Thighs_.mp4,Strength,Thighs,Leverage machine,Sit on the machine and place feet on platform | Adjust seat and back support as needed | Push the platform upward by extending your legs | Slowly lower the platform back down without locking knees | Repeat for desired reps
Dumbbell Standing Bent Arm Lateral Raise,male/Dumbbell-Standing-Bent-Arm-Lateral-raise-(male)_Sh.mp4,Strength,Shoulders,Dumbbell,Stand upright holding dumbbells at sides | Bend elbows to about 90 degrees | Raise arms out to sides until elbows are shoulder height | Lower arms back to starting position
Dumbbell Seated Curl,female/Dumbbell-Seated-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Dumbbell,Sit on a bench with back straight and feet flat | Hold a dumbbell in each hand at your sides | Curl the weights up toward your shoulders | Lower the dumbbells back down slowly | Repeat
Dumbbell Sumo Pull Through,male/Dumbbell-Sumo-Pull-Through_Hips_.mp4,Strength,Hips,Dumbbell,"Stand with feet wide, toes out, dumbbell on floor | Bend knees and hinge hips, reach between legs to grab dumbbell | Pull dumbbell through legs to front while standing up | Squeeze glutes at top, then return to start"
Dumbbell Prone Incline Curl,male/Dumbbell-Prone-Incline-Curl_Upper-Arms-FIX2_.mp4,Strength,Upper Arms,Dumbbell,Set an incline bench to about 45 degrees | Lie face down on the bench holding dumbbells | Let arms hang straight down | Curl the dumbbells up toward your shoulders | Lower slowly to starting position
Lever Lying Single Leg Curl,male/Lever-Lying-Single-Leg-Curl_Thighs_.mp4,Strength,Thighs,Leverage machine,Lie face down on the machine | Place one leg under the lever pad | Grip the handles for support | Curl your leg upward toward your glutes | Lower slowly to starting position
Weighted Counterbalanced Squat,female/Weighted-Counterbalanced-Squat-(female)_Thighs_.mp4,Strength,Thighs,Dumbbell,"Stand with feet shoulder-width apart holding a dumbbell at arm’s length in front of you | Keep chest up and core tight | Lower into a squat, keeping the weight extended | Push through heels to stand back up"
Smith Calf Raise,male/Smith-Calf-Raise-(version-2)_Calves-FIX_.mp4,Strength,Calves,Smith machine,"Position shoulders under Smith machine bar | Stand with balls of feet on a raised platform | Lift heels to raise body upward | Pause at the top, then lower heels back down"
Dumbbell Incline One Arm Press,female/Dumbbell-Incline-One-Arm-Press-(female)_Chest_.mp4,Strength,Chest,Dumbbell,"Sit on an incline bench holding a dumbbell in one hand | Press the dumbbell up above your chest | Lower it back down to chest level | Repeat for reps, then switch arms"
Dumbbell Plyo Squat,female/Dumbbell-Plyo-Squat-(female)_Thighs_.mp4,Strength,Thighs,Dumbbell,"Stand with feet shoulder-width apart holding dumbbells at sides | Lower into a squat position | Explosively jump up, keeping dumbbells at your sides | Land softly and immediately go into the next squat"
Lever Reverse T Bar Row,female/Lever-Reverse-T-Bar-Row-(female)_Back.mp4,Strength,Back,Leverage machine,"Stand facing the lever machine | Grip the handles with both hands | Pull the handles towards your torso, squeezing your back | Slowly return to starting position | Repeat"
Cable Hammer Curl,male/Cable-Hammer-Curl-(with-rope)-(male)_Forearms_.mp4,Strength,Upper Arms,Cable,"Attach rope handle to low pulley | Stand facing the machine, grasp rope with both hands | Keep elbows close to sides, palms facing each other | Curl rope upward toward shoulders | Lower back to starting position"
Dumbbell Front Raise,male/Dumbbell-Front-Raise-(VERSION-3)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Stand upright holding dumbbells at your sides | Keep arms straight and raise dumbbells in front of you to shoulder height | Pause briefly at the top | Lower dumbbells back down slowly | Repeat
Band Pushdown,female/Band-pushdown-(female)_Upper-Arms.mp4,Strength,Upper Arms,Resistance Band,"Attach band overhead | Grip band with both hands, elbows at sides | Push band down by straightening arms | Pause, then slowly return to start"
Dumbbell Alternating Floor Press,female/Dumbbell-Alternating-Floor-Press-(female)_Chest_.mp4,Strength,Chest,Dumbbell,Lie on your back on the floor holding dumbbells | Bend knees and keep feet flat | Press one dumbbell up while keeping the other at chest level | Lower the dumbbell and press the other up | Alternate arms with each rep
Weighted Hyperextension,male/Weighted-Hyperextension-(on-stability-ball)_Waist_.mp4,Strength,Back,"Body weight, Dumbbell",Lie face down on a hyperextension bench | Hook your feet under the footpads and hold a weight to your chest | Lower your upper body towards the floor | Raise your torso back up until your body is in a straight line | Repeat
Band Bent Over Lat Pulldown,female/Band-Bent-Over-Lat-Pulldown-(female)_Back_.mp4,Strength,Back,Band,"Anchor band above head | Bend at hips, keeping back flat | Grab band handles with both hands | Pull band down towards chest, squeezing shoulder blades | Slowly return to start"
Smith Leg Press,male/Smith-Leg-Press_Thighs-FIX_.mp4,Strength,Thighs,Smith machine,Set the bench under the Smith machine and lie down | Place your feet shoulder-width apart on the bar | Unlock the bar and lower it toward your chest by bending your knees | Press the bar upward by extending your legs | Repeat for desired reps
Barbell Preacher Curl,female/Barbell-Preacher-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Barbell,Sit at preacher bench and grip barbell | Rest arms on pad with elbows slightly bent | Curl barbell upward toward shoulders | Lower barbell slowly to starting position
Chin Ups,female/Chin-ups-(narrow-parallel-grip)-(female)_Back.mp4,Strength,Back,Body weight,Grab the bar with palms facing you | Hang with arms fully extended | Pull your chin above the bar | Lower yourself back down with control
Smith Rear Lunge,female/Smith-rear-lunge-(version-2)-(female)_Thighs_.mp4,Strength,Thighs,Smith machine,Set bar on Smith machine at shoulder height | Step under bar and position it across your upper back | Step one foot back into a lunge position | Lower your back knee toward the floor | Push through front heel to return to starting position
Smith Lateral Step Up,female/Smith-Lateral-Step-Up-(female)_Thighs_.mp4,Strength,Thighs,Smith machine,"Set bar on Smith machine at shoulder height | Stand sideways next to bench under bar | Place one foot on bench, bar across shoulders | Push through elevated foot to step up | Lower back down and repeat"
Cable Concentration Extension,female/Cable-Concentration-Extension-(on-knee)-(female)_U.mp4,Strength,Upper Arms,Cable,Attach a single handle to a low cable | Sit on a bench and grasp the handle with one hand | Brace your elbow against your inner thigh | Extend your arm to straighten it | Slowly return to starting position
Lever Seated Row,female/Lever-Seated-Row-(version-2)-(female)_Back_.mp4,Strength,Back,Leverage machine,"Sit on the machine and place feet on the platform | Grasp the handles with both hands | Pull the handles towards your torso, squeezing your back | Slowly return to starting position"
Ez Barbell Lying Triceps Extension,male/EZ-Barbell-Lying-Triceps-Extension-(male)_Upper-Arms_.mp4,Strength,Upper Arms,EZ Barbell,Lie on a bench holding an EZ barbell above your chest | Keep elbows stationary and lower the bar towards your forehead | Extend your arms to raise the bar back to starting position | Repeat
Dumbbell Arnold Press,female/Dumbbell-Arnold-Press-(female)_Shoulders.mp4,Strength,Shoulders,Dumbbell,"Sit or stand holding dumbbells at chest, palms facing you | Rotate palms outward as you press dumbbells overhead | Fully extend arms overhead | Lower dumbbells back to chest, rotating palms inward"
Dumbbell Burpee,female/Dumbbell-Burpee-(female)_Cardio_.mp4,Strength,Full body,Dumbbell,Stand holding dumbbells at your sides | Squat down and place dumbbells on the floor | Jump feet back into a plank position | Jump feet forward to squat position | Stand up and press dumbbells overhead
Cable Assisted Inverse Leg Curl,female/Cable-Assisted-Inverse-Leg-Curl-(female)_Thighs_.mp4,Strength,Thighs,Cable,"Attach ankle cuffs to cable machine | Kneel facing away from machine with cables attached to ankles | Slowly lower your upper body forward, keeping hips extended | Use hamstrings to curl yourself back up to starting position | Repeat"
Hanging Leg Hip Raise,female/Hanging-Leg-Hip-Raise-(female)_Waist_.mp4,Strength,Waist,Body weight,Hang from a pull-up bar with arms extended | Keep legs straight and together | Raise legs up toward your hips | Lower legs back down with control | Repeat
Weighted Dumbbell Lying Flat Hip Raise,male/Weighted-Dumbbell-Lying-Flat-Hip-Raise-(male)_Wais.mp4,Strength,Hips,Dumbbell,Lie flat on your back with knees bent and feet flat on the floor | Place a dumbbell on your hips and hold it securely | Press through your heels to lift your hips toward the ceiling | Squeeze your glutes at the top | Lower your hips back down to the starting position
Inverted Row With Straps,female/Inverted-Row-with-Straps-(female)_back.mp4,Strength,Back,Suspension,Set straps to waist height | Lie under straps and grab handles with both hands | Keep body straight and pull chest up to handles | Lower back down with control | Repeat
Dumbbell Lying One Arm Pronated Triceps Extension,female/Dumbbell-Lying-One-Arm-Pronated-Triceps-Extension-.mp4,Strength,Upper Arms,Dumbbell,"Lie on a bench holding a dumbbell in one hand | Extend your arm straight up, palm facing down (pronated grip) | Lower the dumbbell towards your forehead by bending your elbow | Extend your arm back to the starting position | Repeat for reps, then switch arms"
Dumbbell Single Leg Step Up,female/Dumbbell-Single-Leg-Step-Up-(female)_Thighs_.mp4,Strength,Thighs,Dumbbell,Hold dumbbells at your sides | Stand facing a bench or step | Place one foot on the bench | Push through your heel to step up | Lower back down and repeat
Barbell Wide Bench Press,female/Barbell-Wide-Bench-Press-(female)_Chest_.mp4,Strength,Chest,Barbell,Lie on a bench with feet flat on the floor | Grip the barbell wider than shoulder-width | Lower the barbell to your chest | Press the barbell back up to starting position
Smith Hip Thrust,female/Smith-Hip-Thrust-(female)_Hips_.mp4,Strength,Hips,Smith machine,"Sit on the floor with upper back against a bench | Roll Smith machine bar over hips and secure grip | Plant feet flat, shoulder-width apart | Drive through heels to lift hips upward | Lower hips back down and repeat"
Cable Seated Row,female/Cable-Seated-Row-(female)_Back_.mp4,Strength,Back,Cable,"Sit at the cable row machine and grasp the handle | Keep your back straight and feet flat on the platform | Pull the handle towards your torso, squeezing your shoulder blades together | Slowly extend your arms to return to the starting position"
Dumbbell Squat,male/Dumbbell-Squat_Hips_.mp4,Strength,Thighs,Dumbbell,Stand with feet shoulder-width apart holding dumbbells at your sides | Keep your back straight and chest up | Lower your body by bending your knees and hips | Go down until your thighs are parallel to the floor | Push through your heels to return to standing
Dumbbell Rear Delt Row,female/Dumbbell-Rear-Delt-Row-(female)_Back.mp4,Strength,Shoulders,Dumbbell,"Stand with feet shoulder-width apart holding dumbbells | Bend forward at the hips, keeping back flat | Let arms hang straight down | Pull dumbbells up and out to sides, squeezing shoulder blades | Lower dumbbells back to starting position"
Dumbbell One Arm Shoulder Press,female/Dumbbell-One-Arm-Shoulder-Press-(version-2)-(femal.mp4,Strength,Shoulders,Dumbbell,"Stand with feet shoulder-width apart holding a dumbbell at shoulder height | Keep core engaged and back straight | Press the dumbbell overhead until arm is fully extended | Lower the dumbbell back to shoulder height | Repeat for desired reps, then switch arms"
Cable Donkey Kick,male/Cable-Donkey-Kickback-(male)_Hips_.mp4,Strength,Hips,Cable,"Attach ankle strap to low cable and secure to ankle | Get on all fours facing away from machine | Kick strapped leg back and up, squeezing glutes | Lower leg back to starting position | Repeat for reps, then switch legs"
Band Bent Over Rear Lateral Raise,male/Band-bent-over-rear-lateral-raise-(male)_Shoulders.mp4,Strength,Shoulders,Band,"Stand on band with feet shoulder-width apart | Bend at hips, keeping back flat | Hold band handles with arms hanging down | Raise arms out to sides until parallel to floor | Lower arms back down"
Cable Pull Through,male/Cable-Pull-Through-(with-rope)_Hips_.mp4,Strength,Hips,Cable,"Attach rope to low cable | Stand facing away, straddle rope between legs | Grab handles and step forward | Hinge at hips, pull rope through legs | Thrust hips forward to stand upright"
Weighted Front Raise,female/Weighted-Front-Raise-(female)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Stand upright holding dumbbells at your sides | Keep arms straight and raise weights in front to shoulder height | Pause briefly | Lower weights back down slowly
Barbell Curtsey Lunge,female/Barbell-Curtsey-Lunge-(female)_Thighs_.mp4,Strength,Thighs,Barbell,Stand with barbell on your upper back | Step one leg diagonally behind you into a curtsey position | Lower your body until your front thigh is parallel to the floor | Push through your front heel to return to standing | Repeat on the other side
Band Standing Crunch,female/Band-Standing-Crunch-(female)_Waist.mp4,Strength,Waist,Band,Attach band overhead and hold handles | Stand with feet shoulder-width apart | Pull band down while crunching your torso forward | Return slowly to starting position | Repeat
Ring High Row,female/Ring-High-Row-(female)_Back_.mp4,Strength,Back,Suspension,"Grip the rings with arms extended | Lean back with body straight, heels on ground | Pull your chest up toward the rings | Squeeze shoulder blades together | Lower back to starting position"
Sled Hack Squat,female/Sled-Hack-Squat-(female)_Thighs.mp4,Strength,Thighs,Sled machine,Position yourself under the sled machine with shoulders against pads | Place feet shoulder-width apart on the platform | Release safety handles and lower the sled by bending knees | Push through heels to extend legs and return to starting position
Wide Grip Rear Pull Up,female/Wide-Grip-Rear-Pull-Up-(female)_Back.mp4,Strength,Back,Body weight,"Grip pull-up bar with wide overhand grip | Hang with arms fully extended | Pull chest up towards the bar, focusing on back muscles | Lower yourself back down with control | Repeat"
Cable Goblet Squat,male/Cable-Goblet-Squat-(male)_Thighs_.mp4,Strength,Thighs,Cable,"Attach a rope or handle to the low pulley | Stand facing the machine, holding the handle at chest height with both hands | Stand with feet shoulder-width apart | Squat down, keeping chest up and back straight | Push through your heels to return to standing"
Dumbbell Romanian Deadlift,female/Dumbbell-Romanian-Deadlift-(female)_Hips-FIX_.mp4,Strength,Hips,Dumbbell,Stand with feet hip-width apart holding dumbbells | Keep knees slightly bent and back straight | Hinge at hips to lower dumbbells down front of legs | Lower until you feel a stretch in hamstrings | Return to standing position
Back Pec Stretch,female/Back-Pec-Stretch-(female)_Back.mp4,Stretching,Chest,Body weight,"Stand tall with feet shoulder-width apart | Clasp your hands behind your back | Gently straighten your arms and lift them slightly | Open your chest and squeeze your shoulder blades together | Hold the stretch, then release"
Hanging Straight Leg Hip Raise,female/Hanging-Straight-Leg-Hip-Raise-(female)_Waist.mp4,Strength,Waist,Body weight,Hang from a pull-up bar with arms extended | Keep legs straight and together | Raise legs up in front of you to hip level or higher | Lower legs back down slowly | Repeat
Smith Decline Bench Press,female/Smith-Decline-Bench-Press-(female)_Chest_.mp4,Strength,Chest,Smith machine,Set bench to decline position under Smith machine | Lie back and grip the bar slightly wider than shoulder-width | Lower the bar to your lower chest | Press the bar back up to starting position
Weighted Crunch,female/Weighted-Crunch-(female)_Waist_.mp4,Strength,Waist,Dumbbell,Lie on your back with knees bent | Hold a dumbbell against your chest | Contract your abs to lift your shoulders off the floor | Lower back down with control
Cable Bar Lateral Pulldown,female/Cable-Bar-Lateral-Pulldown-(female)_Back-FIX_.mp4,Strength,Back,Cable,"Sit at the cable pulldown machine | Grasp the bar with a wide, overhand grip | Pull the bar down to your upper chest, keeping elbows out to the sides | Squeeze your back muscles, then slowly return the bar to the starting position"
Dumbbell Lateral Step Up,male/Dumbbell-Lateral-Step-up-(male)_Thighs_.mp4,Strength,Thighs,Dumbbell,Stand beside a bench holding dumbbells | Step sideways onto the bench with one foot | Press through your heel to lift your body up | Step down with the opposite foot | Repeat on both sides
Smith Shrug,female/Smith-Shrug-(female)_Back_.mp4,Strength,Shoulders,Smith machine,"Stand with feet shoulder-width apart under Smith machine bar | Grip the bar with both hands, arms fully extended | Lift your shoulders straight up towards your ears | Hold briefly at the top | Lower shoulders back down and repeat"
Dumbbell Renegade Row,male/Dumbbell-Renegade-Row_Back-FIX_.mp4,Strength,Back,Dumbbell,Get into a plank position holding dumbbells | Keep your body straight and core tight | Row one dumbbell up to your side | Lower it back down and repeat on the other side
Landmine 180,female/Landmine-180-(female)_waist.mp4,Strength,Waist,Barbell,Insert one end of barbell into landmine attachment | Stand holding the free end with both hands | Rotate the barbell in an arc from one hip to the other | Keep core engaged and arms extended | Return to start and repeat
Weighted Hanging Leg Hip Raise,female/Weighted-Hanging-Leg-Hip-Raise-(female)_Waist_.mp4,Strength,Waist,Dumbbell,Hang from a pull-up bar holding a dumbbell between your feet | Keep legs straight and core tight | Raise legs up toward your chest | Lower legs back down with control
Dumbbell Shrug,male/Dumbbell-Shrug_Back-FIX_.mp4,Strength,Shoulders,Dumbbell,"Stand upright holding dumbbells at your sides | Keep arms straight and relax shoulders | Lift shoulders straight up towards your ears | Pause, then lower shoulders back down"
Band Standing Leg Curl,female/Band-standing-leg-curl-(female)_Thighs.mp4,Strength,Thighs,Band,"Stand with feet hip-width apart and band secured around ankle | Hold onto a support for balance | Bend knee, curling heel toward glutes against band resistance | Lower foot back down with control | Repeat for reps"
Pike Push Up,female/Pike-Push-up-(on-Bench)-(VERSION-2)-(female)_Chest.mp4,Strength,Shoulders,Body weight,Start in a downward dog position with hips raised | Lower your head towards the floor by bending your elbows | Push back up to the starting position | Repeat
Barbell Reverse Wrist Curl,female/Barbell-Reverse-Wrist-Curl-(female)_Forearms_.mp4,Strength,Forearms,Barbell,"Sit on a bench and rest forearms on thighs, palms down | Hold a barbell with an overhand grip | Curl wrists upward, lifting the barbell | Lower the barbell back down slowly | Repeat"
Wide Chin Up,male/Wide-Chin-Up-(male)_Back_.mp4,Strength,Back,Body weight,"Grip pull-up bar with wide, underhand grip | Hang with arms fully extended | Pull chest up toward the bar | Lower back down with control"
Assisted Triceps Dip,female/Assisted-Triceps-Dip-(kneeling)-(female)_Upper-Arms.mp4,Strength,Upper Arms,Leverage machine,Adjust the machine for your weight assistance | Grip the handles and step onto the platform | Lower your body by bending your elbows | Push back up to starting position
Cable Hip Abduction,female/Cable-Hip-Abduction-(version-2)-(female)_Hips-FIX_.mp4,Strength,Hips,Cable,"Attach ankle strap to low cable and secure to ankle | Stand sideways to the machine, holding onto support | Lift leg outward away from body, keeping it straight | Slowly return to starting position | Repeat for reps, then switch legs"
Hip Flexor Stretch Rear Foot Elevated,male/Hip-Flexor-Stretch-Rear-foot-elevated-(male)_Hips.mp4,Stretching,Hips,Body weight,"Stand facing away from a bench | Place one foot on the bench behind you | Lower your back knee toward the floor, keeping your torso upright | Hold the stretch, feeling it in your hip flexor | Switch sides and repeat"
Dumbbell Seated Triceps Extension,female/Dumbbell-Seated-Triceps-Extension-(VERSION-2)_Uppe.mp4,Strength,Upper Arms,Dumbbell,Sit on a bench holding a dumbbell with both hands overhead | Keep elbows close to your head | Lower the dumbbell behind your head by bending your elbows | Extend your arms to raise the dumbbell back overhead | Repeat
Lever Seated Fly,female/Lever-Seated-Fly-(female)_Chest-FIX2_.mp4,Strength,Chest,Leverage machine,Sit on the machine with back against the pad | Grasp the handles with arms slightly bent | Bring the handles together in front of your chest | Slowly return to the starting position
Dumbbell Biceps Curl,female/Dumbbell-Biceps-Curl-(VERSION-3)-(female)_Upper-Ar.mp4,Strength,Upper Arms,Dumbbell,Stand with a dumbbell in each hand | Keep elbows close to your torso | Curl the weights up toward your shoulders | Lower the dumbbells back down slowly
Weighted Svend Press,female/Weighted-Svend-Press-(female)_Chest_.mp4,Strength,Chest,Plate,"Hold a weight plate between your palms at chest level | Press the plate straight out in front of you, squeezing your chest | Bring the plate back to your chest | Repeat for desired reps"
